# name              ra_Deg       dec_Deg      OBS_ID         redshift   nh_gal   SUBMODE           FILTER   radius_arcmin   counts   exposure      count_rate     
  1H0707-495        107.172907   -49.551915   0110890201     0.04057    0.0431   PrimePartialW3    Medium   1.14739         477.0    42763.78906   0.01115429691  
  1H0707-495        107.172907   -49.551915   0148010301     0.04057    0.0431   PrimeFullWindow   Medium   1.33333         1034.0   76299.72656   0.0135518179   
  1H0707-495        107.172907   -49.551915   0506200201     0.04057    0.0431   PrimePartialW2    Medium   1.25427         1044.0   39391.44922   0.02650321379  
  1H0707-495        107.172907   -49.551915   0506200301     0.04057    0.0431   PrimePartialW2    Medium   1.33333         642.0    40062.37109   0.01602501256  
  1H0707-495        107.172907   -49.551915   0506200401     0.04057    0.0431   PrimePartialW2    Medium   1.26282         1204.0   37552.67188   0.03206163343  
  1H0707-495        107.172907   -49.551915   0511580101     0.04057    0.0431   PrimePartialW2    Medium   1.33333         2453.0   116950.0      0.02097477555  
  1H0707-495        107.172907   -49.551915   0511580201     0.04057    0.0431   PrimePartialW2    Medium   1.33333         2210.0   95018.4375    0.02325864388  
  1H0707-495        107.172907   -49.551915   0511580301     0.04057    0.0431   PrimePartialW2    Medium   1.33333         2012.0   82777.71094   0.02430605989  
  1H0707-495        107.172907   -49.551915   0511580401     0.04057    0.0431   PrimePartialW2    Medium   1.33333         1684.0   80029.15625   0.02104233106  
  1H0707-495        107.172907   -49.551915   0554710801     0.04057    0.0431   PrimePartialW2    Medium   1.10368         2284.0   83034.71875   0.02750656634  
  1H0707-495        107.172907   -49.551915   0653510301     0.04057    0.0431   PrimePartialW2    Medium   1.33333         1787.0   112265.6016   0.01591760945  
  1H0707-495        107.172907   -49.551915   0653510401     0.04057    0.0431   PrimePartialW2    Medium   1.14759         2373.0   122284.7969   0.01940551942  
  1H0707-495        107.172907   -49.551915   0653510501     0.04057    0.0431   PrimePartialW2    Medium   1.20762         2347.0   114431.8984   0.02051001541  
  1H0707-495        107.172907   -49.551915   0653510601     0.04057    0.0431   PrimePartialW2    Medium   1.33333         2276.0   118449.2969   0.01921497265  
  Ark564            340.663939   29.725364    0006810101     0.02468    0.0534   PrimePartialW2    Medium   1.09267         109.0    6955.199219   0.01567172939  
  Ark564            340.663939   29.725364    0006810301     0.02468    0.0534   PrimePartialW2    Medium   1.0943          274.0    7638.066895   0.03587295107  
  Ark564            340.663939   29.725364    0206400101     0.02468    0.0534   PrimePartialW2    Medium   0.913363        1521.0   94967.45312   0.01601601338  
  Ark564            340.663939   29.725364    0670130201     0.02468    0.0534   PrimePartialW2    Thin1    1.06503         1656.0   57350.21094   0.02887522073  
  Ark564            340.663939   29.725364    0670130301     0.02468    0.0534   PrimePartialW2    Thin1    1.03735         1556.0   52548.32031   0.02961084181  
  Ark564            340.663939   29.725364    0670130401     0.02468    0.0534   PrimePartialW2    Thin1    0.978459        1239.0   45849.48828   0.02702320236  
  Ark564            340.663939   29.725364    0670130501     0.02468    0.0534   PrimePartialW2    Thin1    1.05876         1850.0   62526.48047   0.02958746416  
  Ark564            340.663939   29.725364    0670130601     0.02468    0.0534   PrimePartialW2    Thin1    1.01234         1564.0   42584.17188   0.03672726112  
