# name              ra_Deg       dec_Deg      OBS_ID         redshift   nh_gal   SUBMODE           FILTER   radius_arcmin   counts   exposure      count_rate     
  REJ1034+396       158.660829   39.641158    0655310101     0.04244    0.0131   PrimePartialW2    Thin1    0.953535        700.0    24698.30078   0.02834203074  
  REJ1034+396       158.660829   39.641158    0655310201     0.04244    0.0131   PrimePartialW2    Thin1    0.865068        894.0    38421.73828   0.02326807792  
  REJ1034+396       158.660829   39.641158    0675440101     0.04244    0.0131   PrimePartialW2    Thin1    0.952928        563.0    21917.96094   0.02568669602  
  REJ1034+396       158.660829   39.641158    0675440301     0.04244    0.0131   PrimePartialW2    Thin1    0.939286        397.0    20409.50977   0.0194517166   
  RXJ0136.9-3510    24.226667    -35.164444   0303340101     0.28903    0.0208   PrimeFullWindow   Thin1    1.33333         1060.0   49711.92969   0.0213228496   
  SWIFTJ2127.4+5654 321.937292   56.944361    0601741901     0.0144     0.765    PrimeFullWindow   Medium   1.33333         558.0    16633.91992   0.03354591116  
  SWIFTJ2127.4+5654 321.937292   56.944361    0655450101     0.0144     0.765    PrimePartialW2    Thin1    1.11111         2634.0   110065.2969   0.02393124877  
  SWIFTJ2127.4+5654 321.937292   56.944361    0693781701     0.0144     0.765    PrimePartialW2    Medium   1.11111         2305.0   129170.2969   0.01784465977  
  SWIFTJ2127.4+5654 321.937292   56.944361    0693781801     0.0144     0.765    PrimePartialW2    Medium   1.11111         2044.0   120932.6016   0.01690197659  
  SWIFTJ2127.4+5654 321.937292   56.944361    0693781901     0.0144     0.765    PrimePartialW2    Medium   1.05482         1509.0   70096.3125    0.02152752329  
  1H1934-063        294.387542   -6.218       0550451701     0.0102     0.106    PrimeFullWindow   Medium   0.915896        755.0    17239.56055   0.04379461982  
  1H1934-063        294.387542   -6.218       0761870201     0.0102     0.106    PrimePartialW2    Thin1    1.11111         19.0     289.3534851   0.06566362936  
  NGC2992           146.425211   -14.326382   0147920301     0.00771    0.0487   PrimeFullWindow   Medium   1.33333         332.0    23509.61914   0.01412187913  
  NGC2992           146.425211   -14.326382   0654910301     0.00771    0.0487   PrimePartialW2    Medium   0.895085        1285.0   42686.25      0.03010337052  
  NGC2992           146.425211   -14.326382   0654910401     0.00771    0.0487   PrimePartialW2    Medium   0.905504        1132.0   59653.46094   0.01897626696  
  NGC2992           146.425211   -14.326382   0654910501     0.00771    0.0487   PrimePartialW2    Medium   1.05096         991.0    50421.69141   0.01965423952  
  NGC2992           146.425211   -14.326382   0654910601     0.00771    0.0487   PrimePartialW2    Medium   0.875364        1693.0   51762.03125   0.03270737178  
  NGC2992           146.425211   -14.326382   0654910701     0.00771    0.0487   PrimePartialW2    Medium   0.984447        932.0    54768.83984   0.01701697539  
  NGC2992           146.425211   -14.326382   0654910801     0.00771    0.0487   PrimePartialW2    Medium   0.880466        991.0    54695.48828   0.01811849626  
  NGC2992           146.425211   -14.326382   0654910901     0.00771    0.0487   PrimePartialW2    Medium   0.906548        975.0    48072.60156   0.02028182308  
  NGC2992           146.425211   -14.326382   0654911001     0.00771    0.0487   PrimePartialW2    Medium   0.991401        1300.0   58979.28906   0.02204163564  
  NGC2992           146.425211   -14.326382   0701780101     0.00771    0.0487   PrimePartialW2    Medium   0.909378        221.0    12895.59961   0.01713762886  
