  name              ra_Deg       dec_Deg      OBS_ID         redshift   nh_gal   SUBMODE                   FILTER   radius_arcmin   counts    exposure      count_rate     
  TONS180           14.33419     -22.3823     0764170101     0.06198    0.0136   PrimeSmallWindow          Thin1    0.957329        24306.0   93139.82031   0.2609624962   
  TONS180           14.33419     -22.3823     0790990101     0.06198    0.0136   PrimeSmallWindow          Medium   0.934848        3700.0    21351.09961   0.1732931824   
  Ton28             151.01085    28.9265      0804560101     0.3272     0.0191   PrimeLargeWindow          Medium   1.33333         2254.0    21993.06055   0.1024868729   
  3C120             68.296231    5.354339     0109131101     0.03301    0.106    PrimeSmallWindow          Thin1    0.925926        4592.0    8272.611328   0.5550847027   
  3C120             68.296231    5.354339     0152840101     0.03301    0.106    PrimeSmallWindow          Medium   0.925926        18816.0   86970.34375   0.2163496106   
  3C120             68.296231    5.354339     0693781601     0.03301    0.106    PrimeSmallWindow          Medium   0.925926        6756.0    37641.82031   0.1794812244   
  3C120             68.296231    5.354339     0693781601_1   0.03301    0.106    PrimeSmallWindow          Medium   0.925926        19760.0   37066.08984   0.5331018212   
  3C120             68.296231    5.354339     0693782401     0.03301    0.106    PrimeSmallWindow          Medium   0.925926        5704.0    19953.46094   0.2858651949   
  3C390.3           280.537458   79.771424    0203720201     0.0561     0.0347   PrimeSmallWindow          Medium   0.925926        7949.0    36091.42969   0.2202461933   
  3C390.3           280.537458   79.771424    0203720301     0.0561     0.0347   PrimeSmallWindow          Medium   0.925926        3990.0    22525.74023   0.177130694    
  Ark120            79.047588    -0.149827    0147190101     0.03271    0.0978   PrimeSmallWindow          Thin1    0.925926        29524.0   75923.60156   0.3888645875   
  Ark120            79.047588    -0.149827    0693781501     0.03271    0.0978   PrimeSmallWindow          Medium   0.925926        18382.0   84757.92969   0.216876463    
  Ark120            79.047588    -0.149827    0721600201     0.03271    0.0978   PrimeSmallWindow          Thin1    0.925926        24281.0   86186.59375   0.28172595     
  Ark120            79.047588    -0.149827    0721600301     0.03271    0.0978   PrimeSmallWindow          Thin1    0.925926        14074.0   84668.53906   0.1662246704   
  Ark120            79.047588    -0.149827    0721600401     0.03271    0.0978   PrimeSmallWindow          Thin1    0.925926        25616.0   85354.11719   0.3001144039   
  Ark120            79.047588    -0.149827    0721600501     0.03271    0.0978   PrimeSmallWindow          Thin1    0.925926        30005.0   86922.97656   0.345190664    
  CTSA08.12         323.009023   -33.715025   0201130301     0.02997    0.0352   PrimeSmallWindow          Thin1    0.925926        5258.0    32159.05078   0.1634998507   
  ESO198-G24        39.581889    -52.192377   0067190101     0.0455     0.0293   PrimeFullWindow           Medium   1.33333         1383.0    16663.92969   0.08299362911  
  ESO198-G24        39.581889    -52.192377   0305370101     0.0455     0.0293   PrimeSmallWindow          Medium   0.925926        19160.0   84829.02344   0.2258660919   
  Fairall9          20.940736    -58.805784   0101040201     0.04702    0.0316   PrimeFullWindow           Medium   1.33333         1513.0    25794.78906   0.05865525771  
  Fairall9          20.940736    -58.805784   0605800401     0.04702    0.0316   PrimeSmallWindow          Medium   0.925926        20783.0   90589.34375   0.22941992     
  Fairall9          20.940736    -58.805784   0721110101     0.04702    0.0316   PrimeSmallWindow          Medium   0.925926        6719.0    28773.67969   0.2335120177   
  Fairall9          20.940736    -58.805784   0721110101_1   0.04702    0.0316   PrimeSmallWindow          Medium   0.925926        1414.0    13238.21973   0.1068119452   
  Fairall9          20.940736    -58.805784   0721110201     0.04702    0.0316   PrimeSmallWindow          Medium   0.925926        13750.0   32815.03906   0.4190151953   
  Fairall9          20.940736    -58.805784   0741330101     0.04702    0.0316   PrimeSmallWindow          Medium   0.925926        13435.0   82357.84375   0.1631295744   
  HE1029-1401       157.97625    -14.280833   0203770101     0.08582    0.0546   PrimeSmallWindow          Thin1    0.925926        12569.0   28869.99023   0.4353655785   
  IRASF12397+3333   190.544148   33.284055    0202180201     0.04351    0.0135   PrimeFullWindow           Thin1    1.33333         5576.0    54866.30078   0.1016288673   
  IRASF12397+3333   190.544148   33.284055    0202180301     0.04351    0.0135   PrimeFullWindow           Thin1    1.33333         1009.0    9068.951172   0.1112587311   
  Mrk279            208.264362   69.308213    0083960101     0.03045    0.0152   PrimeFullWindow           Medium   1.33333         1225.0    12889.67969   0.09503727243  
  Mrk279            208.264362   69.308213    0302480401     0.03045    0.0152   PrimeSmallWindow          Medium   0.925926        19294.0   40443.0       0.4770664886   
