Time Flux
19.0 0.0
62.0 3.1653602265355185e-12
110.0 1.8586063677689113e-12
158.0 5.096637521739833e-12
206.0 1.6370483527788915e-12
254.0 7.226258003437125e-12
302.0 6.3774970005502085e-12
350.0 7.03987681951318e-12
398.0 7.497438976079851e-12
446.0 8.382498146129735e-12
494.0 6.398368434471641e-12
542.0 8.040775077017281e-12
590.0 2.7209145310111427e-12
638.0 9.350820031478468e-12
686.0 7.873929915198918e-13
734.0 4.514904184023394e-12
782.0 1.6089307620578697e-12
830.0 2.2454942636210284e-12
878.0 1.8930727211513565e-12
926.0 2.590844314261098e-12
998.0 5.273913196348484e-12
