Time Flux
299.0 0.0
998.0 4.982170166874245e-12
1798.0 8.726798309596079e-12
2598.0 1.3195213313926119e-11
3398.0 7.483412706784515e-12
4198.0 7.875502550450109e-12
4998.0 5.916328950188177e-12
5798.0 2.871964439269542e-12
6598.0 5.8063456928776624e-12
7398.0 2.180890288239895e-12
8198.0 4.3702159404322705e-12
8998.0 4.223577650813715e-12
9798.0 2.1968714282623314e-12
10598.0 5.081599800237785e-12
11398.0 2.860360440257864e-12
12198.0 2.123295734113989e-12
12998.0 3.037846558508195e-12
13798.0 2.891364827683346e-12
14598.0 1.3679073065236969e-12
15398.0 1.4242869579052242e-12
16198.0 3.123352054421047e-12
16998.0 6.762531073317701e-13
17798.0 1.4552945979372234e-12
18598.0 2.198061936457829e-12
19398.0 2.1477146233336852e-12
20198.0 2.969766793592399e-12
20998.0 2.8868418072702795e-12
21798.0 1.3509461019474422e-12
22598.0 2.2633962846324573e-12
23398.0 1.514600673612615e-12
24198.0 7.603939721802233e-13
24998.0 2.1425931775315155e-12
25798.0 6.325458819927965e-13
26998.0 2.082279552777233e-12
