Time Flux
29.0 9.906779173049496e-13
138.0 0.0
298.0 1.368918541889974e-12
458.0 0.0
618.0 0.0
778.0 2.391049597899597e-12
938.0 1.3497979860568887e-12
1098.0 2.7074622925560288e-12
1258.0 2.3916971918572227e-12
1418.0 0.0
1578.0 0.0
1738.0 0.0
1898.0 2.5603202283980275e-12
2058.0 1.1126937695879469e-11
2218.0 1.3210909146146865e-12
2378.0 2.7051246442519328e-12
2538.0 3.742918626946368e-12
2698.0 3.766567786833708e-12
2858.0 0.0
3018.0 0.0
3178.0 1.0379714665900708e-12
3338.0 0.0
3498.0 2.3853109158006314e-12
3658.0 4.053793000065309e-12
3818.0 0.0
3978.0 0.0
4138.0 0.0
4298.0 1.041845971473665e-12
4458.0 2.398397127602314e-12
4618.0 0.0
4778.0 0.0
4938.0 0.0
5098.0 0.0
5258.0 2.8749506031031102e-12
5498.0 2.8749506031031102e-12
