Time Flux
39.0 0.0
158.0 0.0
318.0 1.99414698079034e-12
478.0 2.4659685101194317e-12
638.0 8.116463772779581e-13
798.0 3.479667563203309e-12
958.0 6.301981018193986e-12
1118.0 1.0787052078398834e-11
1278.0 4.4772926685587855e-12
1438.0 3.6868106224191566e-12
1598.0 4.258696097592801e-12
1758.0 2.5868925057626058e-12
1918.0 7.877799432752519e-13
2078.0 3.5899533129199468e-12
2238.0 1.949403854485665e-12
2398.0 7.677541328382498e-13
2558.0 7.845375282582168e-13
2718.0 3.668820564191322e-12
2878.0 4.276529488606712e-12
3038.0 1.9518541513954824e-12
3198.0 2.5935505913038392e-12
3358.0 1.7413944093137845e-12
3518.0 1.097485058561276e-12
3678.0 3.3599850332577397e-12
3838.0 9.862393020310112e-13
3998.0 1.5655054292837423e-12
4158.0 9.280149348631084e-13
4318.0 9.824905645994253e-13
4478.0 1.7254998970449298e-12
4638.0 1.890317871851288e-12
4798.0 2.371144242323958e-12
4958.0 1.6834677098523376e-12
5118.0 0.0
5278.0 0.0
5438.0 2.338556160785127e-12
5598.0 9.91082866816373e-13
5758.0 0.0
5998.0 1.0619953267482218e-12
