Time Flux
5.0 7.381955290097775e-13
22.0 5.949205971605975e-13
46.0 0.0
70.0 1.120769655468118e-12
94.0 1.3607993855010991e-12
118.0 1.1226638650836673e-12
142.0 1.369807045570326e-12
166.0 1.3820332139986846e-12
190.0 0.0
214.0 1.3626989077072937e-12
238.0 0.0
262.0 6.825200127291708e-13
286.0 6.846163176296716e-13
310.0 0.0
334.0 1.8818543728524317e-12
358.0 6.2637015257709094e-12
382.0 1.0974448346606769e-11
406.0 6.460294105226083e-12
430.0 3.2746519797004214e-12
454.0 2.6195031387066248e-12
478.0 3.4337801157156844e-12
502.0 1.963422371735468e-12
526.0 0.0
550.0 0.0
574.0 6.877655454699816e-13
598.0 1.2422549967860963e-12
622.0 6.914911893952935e-13
646.0 6.9108309569757e-13
670.0 2.991962146786653e-12
694.0 5.01774891168566e-13
718.0 0.0
742.0 6.858086689688625e-13
766.0 0.0
790.0 0.0
814.0 0.0
838.0 1.4152410254993086e-12
862.0 1.2519534562695223e-12
898.0 1.2519534562695223e-12
