Time Flux
199.0 1.3002552051548377e-12
598.0 1.596990985633373e-12
998.0 6.319406532350608e-12
1398.0 4.631715583985896e-12
1798.0 1.6387884972657307e-12
2198.0 3.980460980355233e-12
2598.0 7.205043690578644e-12
2998.0 3.0630080177958263e-12
3398.0 4.725924079157506e-12
3798.0 8.196636403466628e-12
4198.0 3.904545252658015e-12
4598.0 5.455990422908313e-12
4998.0 7.532308381619918e-12
5398.0 4.7956093848604275e-12
5798.0 5.6609052298192686e-12
6198.0 4.635763561217088e-12
6598.0 8.113156414052414e-13
6998.0 3.0194850526160666e-12
7398.0 3.0411539714454705e-12
7798.0 3.0298571269092578e-12
8198.0 7.662924656794134e-13
8598.0 0.0
8998.0 3.1347252810003112e-12
9398.0 2.155789923744683e-12
9998.0 3.74803248333333e-12
