Time Flux
5.0 9.48817630366805e-13
16.0 0.0
28.0 1.2598561516946605e-12
40.0 2.0350893821692584e-12
52.0 6.337953816284991e-12
64.0 8.789031568506855e-12
76.0 6.025904276431293e-12
88.0 2.1267041946937404e-12
100.0 5.836944534480526e-12
112.0 7.833828529445197e-13
124.0 6.362955626802724e-12
136.0 9.377704125387853e-12
148.0 2.0412337185110596e-12
160.0 3.6375187801099274e-12
172.0 2.022822068268454e-12
184.0 1.1684176846535332e-12
196.0 1.1701779953007807e-12
208.0 2.43902478509056e-12
220.0 2.1346937889230033e-12
238.0 2.1346937889230033e-12
