Time Flux
19.0 0.0
118.0 0.0
278.0 1.0214306614061974e-12
438.0 0.0
598.0 1.0014855698209368e-12
758.0 0.0
918.0 1.025764217489622e-12
1078.0 8.909773960286138e-13
1238.0 1.0327146039365576e-12
1398.0 2.9101431551006862e-12
1558.0 3.0150474131240834e-12
1718.0 5.84783388163021e-12
1878.0 2.817745765448104e-12
2038.0 4.02172772081405e-12
2198.0 9.976486867527279e-13
2358.0 3.0678300611680642e-12
2518.0 0.0
2678.0 1.0242328903412035e-12
2838.0 1.0251054562496198e-12
2998.0 0.0
3158.0 8.591435939411807e-13
3318.0 1.9210790727294813e-12
3478.0 8.924642166778518e-13
3638.0 0.0
3798.0 8.945962460399359e-13
3958.0 0.0
4118.0 2.044540426716923e-12
4278.0 0.0
4438.0 1.0373588923626165e-12
4598.0 0.0
4758.0 0.0
4998.0 8.944272731313541e-13
