Time Flux
199.0 0.0
598.0 0.0
998.0 9.89521886738537e-13
1398.0 3.745903164476677e-12
1798.0 6.397822050786817e-12
2198.0 3.642497165435438e-12
2598.0 8.77685017762822e-12
2998.0 2.101367419914818e-12
3398.0 2.4781921848827937e-12
3798.0 2.076722854012919e-12
4198.0 2.0445525155711464e-12
4598.0 5.276265535592017e-13
4998.0 2.6845097325645106e-12
5398.0 1.4949284215040604e-12
5798.0 3.6112249258632434e-12
6198.0 1.0329563268109132e-12
6598.0 5.331218322704445e-13
6998.0 1.5462680506665716e-12
7398.0 5.26561867025821e-13
7798.0 2.0825011094911805e-12
8198.0 1.061938894025144e-12
8598.0 1.0740583227496214e-12
8998.0 1.5732508611837615e-12
9398.0 1.5251882330875877e-12
9998.0 2.065000568544223e-12
