Time Flux
1.5 7.294531732121579e-13
7.0 0.0
15.0 1.21372974604822e-12
23.0 8.814106128990362e-12
31.0 6.9165185731523415e-12
39.0 1.8456325009963415e-11
47.0 6.172375327864743e-12
55.0 9.1405132161132e-12
63.0 2.2984767734934852e-11
71.0 1.777931274427047e-11
79.0 1.6477238844181397e-11
87.0 1.1306727255855353e-11
95.0 6.1284718619325496e-12
103.0 1.4259359480944117e-12
111.0 5.099248388991395e-13
119.0 0.0
127.0 1.2104802837170636e-12
135.0 0.0
143.0 2.603429841499527e-12
151.0 0.0
163.0 5.71057253134083e-13
