start end rate flux
0.0 3.0 0.7659540772438049 7.294531732121579e-13
3.0 7.0 -0.22274520993232727 -2.1213048407697083e-13
7.0 11.0 0.0 0.0
11.0 15.0 0.0 0.0
15.0 19.0 1.274463176727295 1.21372974604822e-12
19.0 23.0 4.571367263793945 4.353522750633054e-12
23.0 27.0 4.683785438537598 4.460583378357308e-12
27.0 31.0 4.093325138092041 3.898261487916832e-12
31.0 35.0 3.1692867279052734 3.0182570852355095e-12
35.0 39.0 11.710914611816406 1.1152840803663189e-11
39.0 43.0 7.668941497802734 7.303484206300226e-12
43.0 47.0 3.5926694869995117 3.4214638500867922e-12
47.0 51.0 2.888563632965088 2.750911477777951e-12
51.0 55.0 3.716073751449585 3.5389874624564e-12
55.0 59.0 5.881818771362305 5.6015257536568e-12
59.0 63.0 11.011648178100586 1.0486897808470452e-11
63.0 67.0 13.123247146606445 1.24978699264644e-11
67.0 71.0 7.618368148803711 7.255321343713206e-12
71.0 75.0 11.05059814453125 1.0523991400557264e-11
75.0 79.0 7.118030548095703 6.7788266319701584e-12
79.0 83.0 10.183708190917969 9.698412212211238e-12
83.0 87.0 6.85426664352417 6.527632601116551e-12
87.0 91.0 5.0182342529296875 4.7790946547388025e-12
91.0 95.0 4.333381652832031 4.1268780927306015e-12
95.0 99.0 2.1017508506774902 2.001593769201948e-12
99.0 103.0 1.1948065757751465 1.1378690958213644e-12
103.0 107.0 0.30248135328292847 2.880668522730473e-13
107.0 111.0 0.5354408025741577 5.099248388991395e-13
111.0 115.0 0.0 0.0
115.0 119.0 0.0 0.0
119.0 123.0 0.0 0.0
123.0 127.0 1.2710511684417725 1.2104802837170636e-12
127.0 131.0 -0.27627143263816833 -2.6310594328227133e-13
131.0 135.0 -0.2768750786781311 -2.6368084148423176e-13
135.0 139.0 0.0 0.0
139.0 143.0 2.7337021827697754 2.603429841499527e-12
143.0 147.0 0.0 0.0
147.0 151.0 0.0 0.0
151.0 155.0 0.0 0.0
155.0 159.0 -0.01851220428943634 -1.7630020097340708e-14
159.0 163.0 0.599632203578949 5.71057253134083e-13
